altura,id,nombre,peso,tipo,url_de_imagen
0.9 m,72,Tentacool,45.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/072.png
1.6 m,73,Tentacruel,55 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/073.png
0.4 m,74,Geodude,20 kg,Rock,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/074.png
1 m,75,Graveler,105 kg,Rock,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/075.png
1.4 m,76,Golem,300 kg,Rock,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/076.png
1 m,77,Ponyta,30 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/077.png
1.7 m,78,Rapidash,95 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/078.png
1.2 m,79,Slowpoke,36 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/079.png
1.6 m,80,Slowbro,78.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/080.png
0.3 m,81,Magnemite,6 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/081.png
1 m,82,Magneton,60 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/082.png
0.8 m,83,Farfetch'd,15 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/083.png
1.4 m,84,Doduo,39.2 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/084.png
1.8 m,85,Dodrio,85.2 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/085.png
1.1 m,86,Seel,90 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/086.png
1.7 m,87,Dewgong,120 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/087.png
0.9 m,88,Grimer,30 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/088.png
1.2 m,89,Muk,30 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/089.png
0.3 m,90,Shellder,4 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/090.png
1.5 m,91,Cloyster,132.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/091.png
1.3 m,92,Gastly,0.1 kg,Ghost,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/092.png
1.6 m,93,Haunter,0.1 kg,Ghost,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/093.png
1.5 m,94,Gengar,40.5 kg,Ghost,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/094.png
8.8 m,95,Onix,210 kg,Rock,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/095.png
1 m,96,Drowzee,32.4 kg,Psychic,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/096.png
1.6 m,97,Hypno,75.6 kg,Psychic,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/097.png
0.4 m,98,Krabby,6.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/098.png
1.3 m,99,Kingler,60 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/099.png
0.5 m,100,Voltorb,10.4 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/100.png
1.2 m,101,Electrode,66.6 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/101.png
0.4 m,102,Exeggcute,2.5 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/102.png
2 m,103,Exeggutor,120 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/103.png
0.4 m,104,Cubone,6.5 kg,Ground,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/104.png
1 m,105,Marowak,45 kg,Ground,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/105.png
1.5 m,106,Hitmonlee,49.8 kg,Fighting,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/106.png
1.4 m,107,Hitmonchan,50.2 kg,Fighting,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/107.png
1.2 m,108,Lickitung,65.5 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/108.png
0.6 m,109,Koffing,1 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/109.png
1.2 m,110,Weezing,9.5 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/110.png
1 m,111,Rhyhorn,115 kg,Ground,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/111.png
1.9 m,112,Rhydon,120 kg,Ground,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/112.png
1.1 m,113,Chansey,34.6 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/113.png
1 m,114,Tangela,35 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/114.png
2.2 m,115,Kangaskhan,80 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/115.png
0.4 m,116,Horsea,8 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/116.png
1.2 m,117,Seadra,25 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/117.png
0.6 m,118,Goldeen,15 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/118.png
1.3 m,119,Seaking,39 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/119.png
0.8 m,120,Staryu,34.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/120.png
1.1 m,121,Starmie,80 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/121.png
1.3 m,122,Mr. Mime,54.5 kg,Psychic,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/122.png
1.5 m,123,Scyther,56 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/123.png
1.4 m,124,Jynx,40.6 kg,Ice,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/124.png
1.1 m,125,Electabuzz,30 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/125.png
1.3 m,126,Magmar,44.5 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/126.png
1.5 m,127,Pinsir,55 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/127.png
1.4 m,128,Tauros,88.4 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/128.png
0.9 m,129,Magikarp,10 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/129.png
6.5 m,130,Gyarados,235 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/130.png
2.5 m,131,Lapras,220 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/131.png
0.3 m,132,Ditto,4 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/132.png
0.3 m,133,Eevee,6.5 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/133.png
1 m,134,Vaporeon,29 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/134.png
0.8 m,135,Jolteon,24.5 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/135.png
0.9 m,136,Flareon,25 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/136.png
0.8 m,137,Porygon,36.5 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/137.png
0.4 m,138,Omanyte,7.5 kg,Rock,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/138.png
1 m,139,Omastar,35 kg,Rock,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/139.png
0.5 m,140,Kabuto,11.5 kg,Rock,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/140.png
1.3 m,141,Kabutops,40.5 kg,Rock,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/141.png
1.8 m,142,Aerodactyl,59 kg,Rock,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/142.png
2.1 m,143,Snorlax,460 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/143.png
1.7 m,144,Articuno,55.4 kg,Ice,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/144.png
1.6 m,145,Zapdos,52.6 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/145.png
2 m,146,Moltres,60 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/146.png
1.8 m,147,Dratini,3.3 kg,Dragon,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/147.png
4 m,148,Dragonair,16.5 kg,Dragon,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/148.png
2.2 m,149,Dragonite,210 kg,Dragon,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/149.png
2 m,150,Mewtwo,122 kg,Psychic,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/150.png
0.4 m,151,Mew,4 kg,Psychic,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/151.png
0.9 m,152,Chikorita,6.4 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/152.png
1.2 m,153,Bayleef,15.8 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/153.png
1.8 m,154,Meganium,100.5 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/154.png
0.5 m,155,Cyndaquil,7.9 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/155.png
0.9 m,156,Quilava,19 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/156.png
1.7 m,157,Typhlosion,79.5 kg,Fire,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/157.png
0.6 m,158,Totodile,9.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/158.png
1.1 m,159,Croconaw,25 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/159.png
2.3 m,160,Feraligatr,88.8 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/160.png
0.8 m,161,Sentret,6 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/161.png
1.8 m,162,Furret,32.5 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/162.png
0.7 m,163,Hoothoot,21.2 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/163.png
1.6 m,164,Noctowl,40.8 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/164.png
1 m,165,Ledyba,10.8 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/165.png
1.4 m,166,Ledian,35.6 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/166.png
0.5 m,167,Spinarak,8.5 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/167.png
1.1 m,168,Ariados,33.5 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/168.png
1.8 m,169,Crobat,75 kg,Poison,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/169.png
0.5 m,170,Chinchou,12 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/170.png
1.2 m,171,Lanturn,22.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/171.png
0.3 m,172,Pichu,2 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/172.png
0.3 m,173,Cleffa,3 kg,Fairy,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/173.png
0.3 m,174,Igglybuff,1 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/174.png
0.3 m,175,Togepi,1.5 kg,Fairy,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/175.png
0.6 m,176,Togetic,3.2 kg,Fairy,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/176.png
0.2 m,177,Natu,2 kg,Psychic,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/177.png
1.5 m,178,Xatu,15 kg,Psychic,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/178.png
0.6 m,179,Mareep,7.8 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/179.png
0.8 m,180,Flaaffy,13.3 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/180.png
1.4 m,181,Ampharos,61.5 kg,Electric,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/181.png
0.4 m,182,Bellossom,5.8 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/182.png
0.4 m,183,Marill,8.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/183.png
0.8 m,184,Azumarill,28.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/184.png
1.2 m,185,Sudowoodo,38 kg,Rock,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/185.png
1.1 m,186,Politoed,33.9 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/186.png
0.4 m,187,Hoppip,0.5 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/187.png
0.6 m,188,Skiploom,1 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/188.png
0.8 m,189,Jumpluff,3 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/189.png
0.8 m,190,Aipom,11.5 kg,Normal,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/190.png
0.3 m,191,Sunkern,1.8 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/191.png
0.8 m,192,Sunflora,8.5 kg,Grass,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/192.png
1.2 m,193,Yanma,38 kg,Bug,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/193.png
0.4 m,194,Wooper,8.5 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/194.png
1.4 m,195,Quagsire,75 kg,Water,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/195.png
